Protein ID,Rank Score, Type
YDL225W,0.0011774692213,Essential
YIL144W,0.0011771831107,Essential
YPL254W,0.00117627655215,Essential
YER021W,0.00117603797745,Shore
YPR023C,0.00117551667124,Shore
YMR231W,0.00117472112471,Essential
YCR002C,0.00117353138293,Essential
YJR076C,0.00117258513748,Essential
YDL111C,0.00117116081291,Shore
YPL045W,0.00117005419354,Essential
YNL236W,0.00116753579059,Essential
YKL139W,0.00116613855394,Essential
YNL317W,0.00116401885105,Essential
YHR086W,0.00116374225137,Shore
YPR107C,0.00116370233356,Essential
YHR169W,0.0011611125353,Fjord
YML032C,0.00115913285966,Essential
YGL011C,0.00115808798097,Essential
YEL051W,0.00115656618101,Essential
YDL092W,0.00115629617152,Essential
YGR285C,0.00115539890882,Fjord
YKL135C,0.00115519529539,Essential
YLR321C,0.00115085305452,Essential
YLR277C,0.00115045293949,Essential
YGR218W,0.00114454140622,Shore
YCR052W,0.00114019742917,Essential
YBR102C,0.00113938507416,Essential
YGL070C,0.00113918402052,Shore
YER133W,0.0011354940349,Essential
YGR013W,0.00113221219847,Essential
YPL190C,0.00113141756566,Fjord
YFR004W,0.00113140122131,Essential
YFR010W,0.00113091719736,Essential
YMR099C,0.001130456012,Essential
YGR132C,0.00112723838914,Essential
YER126C,0.00112566863994,Essential
YPR108W,0.00112204687182,Essential
YDL209C,0.001121423662,Essential
YOL021C,0.00112121465021,Shore
YLR259C,0.00111975833698,Fjord
YER008C,0.00111898676069,Essential
YKL196C,0.0011178292198,Bridge
YDL216C,0.00111751359959,Essential
YKR008W,0.00111571582854,Essential
YJL183W,0.00111547569707,Essential
YLR170C,0.00111323014333,Essential
YLR147C,0.00110772803664,Essential
YGR252W,0.00110516510615,Essential
YGL098W,0.00110467466324,Shore
YLR033W,0.00110336777953,Essential
YMR128W,0.0010984342197,Shore
YJL061W,0.00109820838539,Essential
YOR096W,0.00109701186721,Shore
YLR418C,0.00109659669928,Essential
YGL030W,0.00109659058086,Fjord
YLR166C,0.0010952972738,Essential
YFR002W,0.00109488449169,Essential
YCR035C,0.00109469048304,Essential
YGR180C,0.00109443487299,Essential
YIL071C,0.00109022296112,Essential
YHR172W,0.00109007676856,Essential
YCR093W,0.00108559261489,Essential
YBR103W,0.0010837445945,Essential
YAR003W,0.00108144125712,Shore
YIL068C,0.00107916332635,Essential
YJL034W,0.00107857550062,Fjord
YDL145C,0.0010773514192,Essential
YDR075W,0.00107675288964,Essential
YDR179C,0.00107534449102,Essential
YHL029C,0.00107529605014,Essential
YIL115C,0.00107396816303,Essential
YIL069C,0.0010736612669,Fjord
YNL059C,0.00107336037932,Shore
YPR029C,0.0010681418845,Essential
YPR041W,0.00106782438696,Shore
YGL111W,0.00106548630688,Essential
YPL129W,0.00106448589849,Fjord
YIL084C,0.00106386592072,Shore
YBR125C,0.00106281320566,Essential
YER107C,0.00106268483492,Essential
YER025W,0.00106200660264,Fjord
YLR079W,0.00106084627428,Essential
YER086W,0.00106042094691,Fjord
YBR234C,0.0010586729041,Essential
YJR093C,0.00105803416602,Essential
YDL115C,0.00105693908579,Essential
YML105C,0.00105636578696,Essential
YMR047C,0.00105475182172,Essential
YHR197W,0.00105436432502,Essential
YMR263W,0.00105324677314,Essential
YFR051C,0.00105244158753,Essential
YNR035C,0.0010523002358,Essential
YOL145C,0.00105092148125,Essential
YDR166C,0.00104689194749,Essential
YDR392W,0.00104586440551,Essential
YMR240C,0.00104580999863,Essential
YKL013C,0.00104545686743,Essential
YDR062W,0.00104537493684,Fjord
YJL026W,0.00104222962846,Essential
YDR447C,0.00104019611022,Fjord
YLR127C,0.00103950113845,Essential
YLR440C,0.00103847004456,Shore
YGR274C,0.00103635121107,Shore
YER095W,0.00103548581174,Shore
YJL208C,0.00103388357236,Essential
YDL014W,0.00103212711729,Shore
YNL153C,0.00103017030489,Essential
YBR289W,0.00102965703489,Shore
YMR314W,0.0010291809665,Essential
YLR340W,0.00102864231588,Fjord
YLR200W,0.00102800245081,Essential
YNL308C,0.00102680170193,Shore
YGR195W,0.00102485567898,Essential
YJL176C,0.00102478571168,Shore
YHL025W,0.00102353430071,Shore
YGL137W,0.00102316853392,Essential
YLR221C,0.00102264456683,Fjord
YOR056C,0.00102245839314,Fjord
YJR077C,0.00102127863246,Fjord
YJR065C,0.00101918194384,Essential
YFL024C,0.00101804926904,Fjord
YLR298C,0.0010180462036,Essential
YBL039C,0.00101770118632,Shore
YGL150C,0.00101689283301,Essential
YLR342W,0.00101561049365,Fjord
YPL195W,0.0010155566509,Essential
YLR148W,0.00101423364847,Essential
YBL004W,0.00101373742696,Essential
YGR261C,0.00101282233547,Essential
YIL062C,0.00101178346955,Essential
YDL188C,0.0010113905172,Shore
YNL312W,0.00101106752175,Essential
YOR136W,0.00101096608381,Shore
YKL144C,0.00101069503897,Essential
YDL229W,0.00101010601711,Essential
YGR056W,0.00100960358926,Essential
YAL021C,0.00100928265832,Essential
YGL099W,0.00100780691933,Fjord
YDR211W,0.00100550196914,Essential
YNL099C,0.00100518090992,Essential
YBR079C,0.00100506888638,Shore
YBL087C,0.00100488585135,Fjord
YOL041C,0.00100422494604,Shore
YOR001W,0.0010027343073,Essential
YBR288C,0.00100192404394,Essential
YGR234W,0.0010014221987,Essential
YIL112W,0.000999411550389,Essential
YCL010C,0.000998996506158,Essential
YGR179C,0.000998942702036,Essential
YBL046W,0.000997031847203,Essential
YNL290W,0.000994884124085,Essential
YJL099W,0.000994240436641,Fjord
YIL061C,0.000993662736158,Essential
YPR189W,0.000992548282469,Fjord
YBR087W,0.000992472517107,Shore
YGR156W,0.00099173110171,Essential
YCR095C,0.000991044203905,Essential
YHR088W,0.000991020720627,Essential
YDR074W,0.0009900940059,Essential
YOR076C,0.000990077802942,Essential
YMR288W,0.000988910624999,Essential
YOR075W,0.000988023058314,Essential
YLR447C,0.000985927416683,Essential
YDR238C,0.000984084826367,Essential
YML100W,0.000983439606051,Essential
YNL178W,0.000981803160162,Fjord
YNL232W,0.000981712582341,Essential
YMR025W,0.000979646447345,Essential
YPL050C,0.000977233870409,Essential
YKL012W,0.000976244924722,Essential
YGR078C,0.000972130274602,Essential
YNL189W,0.000969415007006,Shore
YNL032W,0.00096888287644,Essential
YOL142W,0.000967759421398,Essential
YLR370C,0.000966499851627,Essential
YPL243W,0.000962279221246,Essential
YHR216W,0.000960061053095,Shore
YDL213C,0.000959931926124,Shore
YPL181W,0.000959733817639,Shore
YBL032W,0.000958523254313,Fjord
YIL142W,0.000958314976043,Essential
YDR186C,0.000957383807533,Essential
YNL201C,0.000956518293459,Essential
YBR221C,0.000956453744424,Shore
YGR128C,0.000952247678542,Essential
YGR161C,0.000951095958863,Bridge
YPL106C,0.000949015456281,Bridge
YDL018C,0.000947041413051,Essential
YLR314C,0.000946812097347,Essential
YPL016W,0.000946682635485,Essential
YOL094C,0.000946287740199,Essential
YOR260W,0.000946159510842,Essential
YLR367W,0.000944230206856,Fjord
YLR249W,0.00094383085027,Bridge
YDR347W,0.000941154605405,Essential
YPL094C,0.000938818079828,Fjord
YOR217W,0.000935253367053,Fjord
YFR013W,0.000934733405958,Essential
YHR107C,0.00093278041198,Essential
YCL011C,0.000931664152633,Shore
YJL085W,0.000931436717564,Essential
YDR462W,0.00092983414299,Essential
YLR291C,0.000929338243073,Essential
YGL233W,0.000926575228424,Essential
YLL034C,0.000925627553792,Essential
YCR033W,0.000923996716735,Essential
YML010W,0.000923528231315,Shore
YOR362C,0.000923359929407,Shore
YAL029C,0.000921248238611,Shore
YIL076W,0.000919216378582,Essential
YDL029W,0.00091681179836,Essential
YGL128C,0.000916379569589,Shore
YML063W,0.000915997493993,Fjord
YLR292C,0.000915750217423,Essential
YBR171W,0.000913324773322,Essential
YDR099W,0.000912178797594,Essential
YGL194C,0.0009094383306,Essential
YDR080W,0.000909298262479,Essential
YNL288W,0.000909116824488,Essential
YDR167W,0.000908863067701,Essential
YML046W,0.00090806278912,Essential
YFL018C,0.000907734358152,Bridge
YAL007C,0.000906838217726,Essential
YOL010W,0.000905368608094,Essential
YGL167C,0.000903141183634,Essential
YPL259C,0.000899940532942,Essential
YJR063W,0.000899379575184,Essential
YPR103W,0.000898350343342,Essential
YPL217C,0.000897382455097,Essential
YFR024C-A,0.00089692533572,Essential
YPL031C,0.000895205776224,Essential
YPL086C,0.000894198902465,Essential
YOR230W,0.000893638528851,Essential
YNL212W,0.000892409117281,Essential
YGL145W,0.000892008708878,Essential
YDR430C,0.000889968777328,Essential
YMR117C,0.000889341925882,Essential
YOR341W,0.000888210436444,Essential
YKL039W,0.000887226602393,Fjord
YLR052W,0.000885655840629,Fjord
YGL092W,0.00088327393842,Essential
YBR060C,0.000881143037429,Essential
YAR002C-A,0.000880532868166,Essential
YMR072W,0.000878747802102,Shore
YHR041C,0.000878692380751,Essential
YAL047C,0.000876274528862,Essential
YLR424W,0.000876029908744,Shore
YOR259C,0.000875830809202,Shore
YIR008C,0.000873256890953,Essential
YKR029C,0.000871584095023,Essential
YNL172W,0.000871296106063,Essential
YCR092C,0.000871131663403,Essential
YML127W,0.000868258498347,Essential
YKL010C,0.000867557618939,Shore
YKR079C,0.000865963445939,Essential
YOL001W,0.000864460153983,Essential
YPL085W,0.000864205504152,Shore
YLR240W,0.000863683647011,Essential
YML092C,0.00086309052723,Essential
YDR228C,0.00085891895095,Essential
YNL138W,0.000858457557652,Essential
YNL139C,0.000858344667646,Shore
YER146W,0.000855789938502,Essential
YKL081W,0.000855549480114,Fjord
YLR449W,0.000854705788585,Essential
YOR174W,0.000852570081192,Essential
YER092W,0.000852385080873,Essential
YOR308C,0.000851345191869,Essential
YGR278W,0.000850113258113,Essential
YDR188W,0.000849809682051,Essential
YOR244W,0.000848629074867,Shore
YAL005C,0.000847772975665,Essential
YOR115C,0.00084763163694,Essential
YML112W,0.000847547389089,Essential
YJL140W,0.000847332424031,Essential
YGR134W,0.000844237643548,Essential
YML015C,0.000843166074604,Essential
YDR254W,0.000842389857638,Essential
YGL207W,0.000838263208371,Essential
YDL116W,0.000837918772096,Essential
YBR189W,0.000834367367879,Shore
YGL005C,0.000830620839939,Essential
YDL007W,0.000830379551699,Essential
YDR264C,0.000829310633208,Essential
YDL051W,0.000829043757201,Essential
YHR023W,0.000828645464411,Essential
YBR084W,0.000828575164013,Essential
YHR085W,0.000823107904451,Shore
YOR254C,0.000819445952888,Essential
YDR322W,0.000817422535768,Essential
YKR025W,0.000816061477612,Essential
YKL007W,0.000816048522925,Essential
YHR166C,0.000815967543531,Essential
YLR197W,0.000814965762765,Essential
YGL206C,0.000814127624561,Essential
YHL019C,0.00081399719434,Essential
YJL005W,0.000813956833658,Essential
YDR235W,0.000812687494989,Essential
YPL010W,0.000812682338673,Essential
YPL138C,0.000811935022556,Essential
YDR176W,0.000809608980037,Essential
YDR295C,0.000805674426327,Essential
YMR149W,0.000804910198048,Essential
YJR068W,0.000802327731339,Essential
YLR212C,0.000798586989185,Essential
YGR119C,0.000798560057601,Essential
YDL077C,0.000797558464423,Essential
YAL002W,0.00079746762056,Essential
YDL031W,0.000797351307906,Essential
YDR443C,0.000796411947236,Essential
